,sentence
41,The U. S. international trade deficit rose to a record high level in January.
42,"Exports of goods and services fell, owing importantly to a drop in agricultural exports."
43,"Imports edged lower, with higher oil imports partly offsetting declines in most other categories."
44,"Recent data suggested that economic activity in major foreign industrial countries strengthened outside the euro area, notably including a sizable jump in Japan's output in the fourth quarter."
45,Growth in the euro area remained tepid.
46,Core consumer price inflation stayed very low in early 2004.
47,"Over the twelve months ending in January, the increase in core consumer prices was around 1 percent--about ¾ percentage point below the increase over the preceding twelve months."
48,"Total consumer price inflation, however, was boosted in January by a surge in energy prices."
49,Incoming information on trends in labor costs were more mixed.
50,"The average hourly earnings of production or nonsupervisory workers on private nonfarm payrolls rose modestly over the twelve months ending in February, decelerating from its year-earlier pace."
51,"By contrast, the employment cost index for hourly compensation in private industry grew a bit faster over the twelve months ending in December than over the year-earlier period."
52,"At its meeting on January 27-28, 2004, the Federal Open Market Committee decided to leave its target for the federal funds rate unchanged at 1 percent."
53,The Committee also retained its assessment that the upside and downside risks to the attainment of sustainable growth were roughly equal as well as its judgment that the probability of an unwelcome fall in inflation had diminished and was almost equal to that of a rise in inflation.
54,"With inflation low and resource use slack, the Committee saw no need for tightening policy in the near future."
55,"However, to provide additional flexibility to adjust monetary policy at a later date once such action was deemed appropriate given economic developments, the Committee removed from its post-meeting statement the explicit reference to a ""considerable period"" and substituted a statement that conveyed the sense that it could be patient in removing its policy accommodation."
56,"Although the Committee's decision at the January meeting to keep the federal funds rate unchanged had been widely anticipated, the changes in the wording of the accompanying statement elicited a sharp reaction in financial markets."
57,"Investors moved up the date when they expected policy tightening to commence, resulting in a jump in Treasury yields."
58,"Over the balance of the intermeeting period, however, the Chairman's testimony on monetary policy and data on nonfarm payroll employment with a weakish cast persuaded investors that policy tightening was still some ways off."
59,"Treasury yields declined considerably in response and ended the intermeeting period lower, on balance."
60,"Yields on inflation-indexed securities also fell, leaving measures of inflation compensation little changed."
61,"Yields on investment-grade bonds generally moved in tandem with those on Treasuries over the intermeeting period, but spreads on high-yield bonds widened as investors reassessed credit risks in light of the negative tone of some incoming economic data."
62,The disappointing employment data and renewed concerns about terrorism contributed to a decline in broad equity price indexes.
63,"Technology-related issues, which had registered very large gains over the preceding year or so, fell more sharply."
64,The foreign exchange value of the dollar against other major currencies declined through the middle of February but subsequently rebounded to end the intermeeting period higher.
65,"After four consecutive months of decline, M2 rose slightly in January and accelerated markedly in February."
66,"The effects of mortgage refinancing, which had depressed M2 growth in the second half of last year, appeared to wane, allowing the expansion in nominal income to show through to M2 growth."
67,The staff forecast prepared for this meeting indicated that economic activity would continue to expand at a solid pace through 2005.
68,"Monetary policy is expected to support growth over the projection period, and fiscal policy is anticipated to remain accommodative through 2004."
69,"In addition, structural productivity growth is projected to remain substantial this year and next."
70,Strong advances in real disposable income were expected to keep consumer spending on a solid upward trajectory.
71,"Business spending on equipment and software was seen as increasing briskly as a result of sizable profits, an improving outlook for demand, and continued favorable financing conditions."
72,"Also, inventory investment was anticipated to rise gradually as businesses became more convinced that final demand was expanding along a sustainable track."
73,"The pace of economic expansion was forecasted to be sufficient to reduce resource slack over this year and next, although the employment data received over the intermeeting period indicated that this process would begin from a higher rate of unused resources than had been previously expected."
74,Core inflation was projected to remain low over the forecast period.
75,"In the Committee's discussion of current and prospective economic developments, the members noted that overall economic activity still seemed to be increasing at a solid pace, though perhaps not quite as quickly as some members had anticipated at the time of the January meeting."
76,"Investment spending had continued to advance, and the manufacturing sector, which had lagged the rest of the economy earlier in the expansion, had extended recent gains."
77,"Residential construction activity was down somewhat from the very high levels posted late last year, but increases in household wealth and the effects of last year's tax cuts continued to buoy consumer spending."
78,"Despite the gains in spending and production, however, employment growth had been disappointing."
79,"While job losses had moderated, hiring had yet to strengthen, holding down net increases in employment."
80,"Nonetheless, the breadth of the expansion was seen as providing considerable assurance of its sustainability, and Committee members generally expected that accommodative monetary policy, favorable financial market conditions, and, at least in the near term, fiscal stimulus would continue to foster a pace of output growth that exceeded that of its potential."
81,"Although economic slack likely would be declining, it was expected to be a little higher than previously had been anticipated."
82,"Prices for energy, commodities, and non-oil imports were rising, however, and some business contacts had reported seeing a return of ""pricing power. """
83,"On balance, inflation was expected to remain near its current low level."
84,"In their discussion of economic developments across the nation, a number of Committee members noted some slippage in business and consumer confidence from the high levels reached late last year."
85,"While business contacts in some regions remained optimistic about prospects for their sales and planned to increase investment and, in some cases, employment, firms in other parts of the country had become somewhat more uncertain about the pace of the expansion going forward."
86,"Those firms, as a result, were more wary about committing to new investment plans or increased hiring."
87,"Financial markets also seemed a little less positive about the outlook, with stock prices lower and some risk spreads wider than at the time of the last meeting."
88,The reasons for the reduced optimism were not entirely clear but may have included higher energy and commodity prices as well as renewed concerns about terrorism.
89,"Some members also pointed to the persistent weakness in employment, which might be seen as reducing the odds that household spending would continue to expand briskly once the stimulative effects of tax cuts waned."
90,"Lingering business caution likely accounted for a good deal of the lag in job creation, but some members also pointed to a number of other factors that might be restraining hiring, including ongoing opportunities to increase efficiency through organizational changes and new investments, the effects on labor costs of increases in the costs of benefits, and, in some selected industries and regions, a shortage of job candidates with appropriate skills."
91,"The extent and duration of the resulting restraint on hiring were difficult to assess, however, and the Committee continued to expect employment growth to pick up as the expansion progressed."
92,"In their comments about demand in key sectors of the economy, members indicated that investment spending had continued to expand at a robust pace."
93,"Members anticipated vigorous growth in investment outlays going forward, supported by rapid productivity growth, high profits and cash flow, and accommodative financial markets."
94,"Despite this generally upbeat assessment, a number of members reported that firms were investing primarily to replace old equipment or to reduce costs, but remained hesitant to expand capacity."
95,"The commercial real estate sector remained weak, on balance, although some members suggested that market conditions were stabilizing and, in a few cases, even beginning to improve."
96,"Committee members noted that activity in the housing sector, while still quite elevated, had fallen back from its extraordinary pace of late last year."
97,"However, some of the moderation may have owed to the effects of severe winter weather rather than more lasting influences, and the recent decline in mortgage interest rates was expected to support the housing sector going forward."
98,"Reports from some contacts suggested that speculative forces might be boosting housing demand in some parts of the country, with concomitant effects on prices, suggesting the possibility that house prices might be moving into the high end of the range that could be consistent with fundamentals."
99,"Consumer spending outside the auto sector had remained strong, with data and retail contacts generally suggesting continued growth in sales this year."
100,Committee members noted that sales had been bolstered by rising asset prices and the effects of last year's tax cuts on refunds and final payments.
101,"By contrast, sales of motor vehicles had fallen back noticeably, reflecting in part reductions in incentives."
102,"However, members anticipated that sales would pick up again, partly in response to an anticipated rebound in incentives."
103,"Looking forward, gains in employment and the pass-through of higher productivity to wages and salaries were also expected to boost consumer spending, even as the stimulus to growth from tax cuts faded and increases in home and equity prices likely slowed from their rapid pace in recent quarters."
104,The Committee anticipated that government spending would provide some further support for aggregate demand going forward.
105,"The budget pressures that had constrained state and local government expenditures of late were easing in some cases, and federal outlays were expected to rise."
106,"Fiscal policy was seen as providing less stimulus to aggregate demand in 2005 than this year, but the federal budget deficit was expected to remain substantial."
107,"In their remarks concerning the external sector of the economy, members cited the decline in the value of the dollar on foreign exchange markets since the middle of last year and stronger economic growth in many of our trading partners as factors boosting the demand for exports in a variety of industries."
108,"While exports were likely to continue to advance, the value of U. S. imports was expected to rise as well, implying continued very large current account deficits."
109,Some Committee members noted that opportunities to cut costs had led some of their business contacts to consider moving production abroad.
110,"In their review of the outlook for prices, members generally anticipated that core inflation would remain near current low levels, with output growth only gradually eliminating slack in labor and goods markets and strong growth in productivity limiting increases in unit labor costs."
111,Some members thought that core inflation had stabilized and was unlikely to move lower.
112,"Increases in the prices of energy, other commodities, and non-oil imports, as well as reports from some business contacts that higher costs were increasingly being passed through to prices, suggested that the downtrend in inflation had ended."
113,"Moreover, if, as some members thought likely, productivity growth slowed as employment picked up, the result could be reductions in slack accompanied by higher unit labor costs and associated pressures on prices."
114,Other members were less certain that inflation had leveled out.
115,"Recent price trends were not clear, with some measures of core inflation still declining."
116,"Increases in commodity prices remained limited to a few selected industries, and with the persistence of slack in labor and product markets, core inflation might well edge lower once any transitory influences had ebbed."
117,"Moreover, if productivity were to expand at a rapid pace rather than slowing, unit labor costs could fall, putting downward pressure on prices."
118,"In the Committee's discussion of policy for the intermeeting period, all the members favored the retention of the current target rate of 1 percent for the federal funds rate."
119,This preference for an unaltered stance of policy was based on the absence of significant changes in economic conditions or in the members' basic assessment of the outlook since the January meeting.
120,"To be sure, some of the incoming information--notably with regard to labor market developments--had been somewhat disappointing, but the Committee continued to see the conditions in place for further solid economic growth."
121,"Similarly, despite the rise in energy and commodity prices and reports of increased pricing power in some sectors, many Committee members commented that persisting slack in labor and output markets would keep inflation low."
122,"In these circumstances, the current accommodative stance of monetary policy remained appropriate."
123,"Some members, while supporting an unchanged policy at this meeting, nonetheless emphasized that the maintenance of a very accommodative monetary policy over an extended period in concert with a stimulative fiscal policy called for careful attention to the possible emergence of inflationary pressures."
124,"And, while adjustments in financial markets to low rates had generally been consistent with the usual operation of the monetary transmission mechanism, some members were concerned that keeping monetary policy stimulative for so long might be encouraging increased leverage and excessive risk-taking."
125,Such developments could heighten the potential for the emergence of financial and economic instability when policy tightening proved necessary in the future.
126,"At present, however, the persistence of low inflation coupled with soft labor markets underscored the desirability of a monetary policy strategy characterized by continued patience."
127,"In the Committee's discussion of its statement to be released shortly after this meeting, the members saw merit in not changing the characterization of the risks to the outlook for inflation and economic activity."
128,"Many members held that a case could be made for moving to a balanced risk assessment with regard to the outlook for inflation, with a number of them expressing a marginal preference for such a change."
129,"However, other members thought the evidence for a balanced risk assessment was not yet compelling and pointed out that with inflation quite low and slack in labor and output markets likely to persist for a while longer, the costs to the economy associated with a further decline in inflation likely outweighed those associated with a comparable increase."
130,"While many viewed it as a close call, all members indicated that they could support a proposal to retain the existing wording involving a slight tilt toward the possibility of some further disinflation."
131,The members also agreed on the desirability of retaining the assessment that the risks with regard to the outlook for economic growth were balanced.
132,"Accordingly, it was agreed that the only changes in the post-meeting statement would be to update the descriptions of the economic expansion and labor market conditions in light of the information received over the intermeeting period."
133,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive."
134,"""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output."
135,"To further its long-run objectives, the Committee in the immediate future seeks conditions in reserve markets consistent with maintaining the federal funds rate at an average of around 1 percent. """
136,"The vote encompassed approval of the paragraph below for inclusion in the Committee's statement to be released shortly after the meeting: ""The Committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal."
137,The probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation.
138,"With inflation quite low and resource use slack, the Committee believes that it can be patient in removing its policy accommodation. """
139,"Votes for this action: Messrs. Greenspan, Geithner, Bernanke, Ms. Bies, Messrs. Ferguson, Gramlich, Hoenig, Kohn, Ms. Minehan, Mr. Olson, Ms. Pianalto, and Mr. Poole."
140,Vote against this action: None.
141,"It was agreed that the next meeting of the Committee would be held on Tuesday, May 4, 2004."
142,The meeting
