,sentence
50,"In fact, as I noted earlier, it appears that the growth in aggregate demand has been exceeding the upward-revised estimate of the growth in aggregate supply over the last few years."
51,The linkages I have described from higher productivity growth to more robust growth in aggregate demand are one possible explanation for this imbalance.
52,But this explanation is less important than the conclusion that we are on the mark in perceiving an imbalance in the growth rates of demand and supply.
53,"The FRB-US model, developed at the Board of Governors, gives some credibility to the linkages that I have highlighted between productivity and aggregate demand."
54,"When the assumed productivity trend is raised in this model, the near-term effect on aggregate demand exceeds the initial effect on aggregate supply, as long as households and firms recognize that there has been a sustained shift in growth."
55,The temporary disinflationary effect of an unexpected increase in the productivity trend.
56,"In the long run, inflation is a monetary phenomenon and independent of the rate of productivity growth."
57,"In the short-run, on the other hand, an unexpected increase in trend productivity growth can yield a disinflationary bonus for a while."
58,The source of the disinflationary effect in the last few years has clearly not been that aggregate supply is growing faster than aggregate demand.
59,"Instead the source, in my view, is an asymmetric response of nominal wages and prices to the productivity shock."
60,"If wages adjust more slowly to an unexpected increase in productivity growth than prices, the initial effect of higher productivity growth will be a decline in the growth of unit labor costs and in price inflation."
61,"For a time, lower price increases feed back into reduced pressure on nominal wages."
62,But once wages fully respond to the higher productivity trend--a process that appears to take several years to complete--the disinflationary effect of the productivity shock will dissipate.
63,"In the interim, for any given unemployment rate, inflation will be lower than otherwise, and, as a result, the economy can operate at a lower unemployment rate without adverse inflationary consequences for a period of time."
64,"Therefore, despite a decline in the unemployment rate, there may be little urgency for an increase in nominal interest rates."
65,Productivity and the equilibrium real interest rate.
66,An increase in the trend rate of productivity growth will also generally result in a higher equilibrium real interest rate.
67,"Classical economic theory holds that the economy's equilibrium real interest rate is determined by the interaction of ""productivity"" and ""thrift."""
68,"That is, the equilibrium real interest rate at full employment has to balance saving (driven by the thrift motive) and investment (responding to the productivity and, hence, profitability of capital)."
69,"Higher productivity growth increases the profitability of investment, increasing the demand for investment, and, hence, the equilibrium real interest rate that balances saving and investment at full employment."
70,This is really an implication of the earlier discussion of the effect of a productivity shock on aggregate demand relative to aggregate supply.
71,"A variety of models suggest that, under reasonable assumptions, the increase in the equilibrium real interest rate is at least one-for-one with the pick-up in the economy's growth rate."
72,"A useful way of understanding the effect of productivity on the balance between aggregate demand and supply is in terms of the relationship between ""natural"" and ""market"" rates--a relationship Knut Wicksell put at the center of his analysis."
73,The natural rate is the equilibrium real interest rate that I described above.
74,The market rate is the actual (real) interest rate determined in financial markets and affected by monetary policy as well as by the balance between saving and investment.
75,"When the market rate is below the natural rate, financial conditions are relatively stimulative and aggregate demand will be boosted to a level above potential aggregate supply."
76,This analysis makes clear that the effect of a productivity shock on the balance between aggregate demand and supply depends critically on the monetary policy that accompanies it.
77,"Of course, to keep market rates in line with the natural rate, we must make some judgments about the degree to which the equilibrium real interest rate is affected by an increase in productivity growth."
78,"This depends on, in addition to the size of the increment in productivity growth, a number of other considerations."
79,"For example, the change in the equilibrium real interest rate will also depend on the prevailing fiscal policy."
80,"If nominal spending or even real government spending is fixed, on the other hand, a productivity shock increases the government budget surplus relative to GDP, at least partially offsetting the rise in the equilibrium real interest rate."
81,The full effect on the equilibrium real interest rate holds when the productivity shock symmetrically affects foreign as well as domestic output growth.
82,"If the productivity shock raises the growth rate only or predominantly in the United States, the resulting international capital flows to the United States in search of higher expected rates of return will damp the effect of the productivity shock on our equilibrium real interest rate."
83,"As a result of the variety of effects on the equilibrium real interest rate in this episode, it takes some careful analysis to assess whether and how much the real equilibrium interest rate may have increased."
84,"The observed strength of aggregate demand relative to aggregate supply, however, does importantly reinforce the judgment that the natural rate has indeed increased."
85,Monetary Policy and Productivity Shocks The effect of a productivity shock on the balance between aggregate demand and aggregate supply (or equivalently on the balance between natural and market rates) depends importantly on the conduct of monetary policy.
86,"Therefore, whether inflation turns out to be higher, lower, or unchanged in response to the productivity shock--especially once the initial disinflationary impetus dissipates--depends on the conduct of monetary policy and should not be attributed to the productivity shock itself."
87,"In simulations with the FRB-US model, for example, aggregate demand increases faster than aggregate supply if the nominal federal funds rate is held constant or if monetary policy is assumed to follow a Taylor Rule and when households and firms are assumed to fairly quickly recognize the sharp step-up in productivity growth."
88,The Taylor rule prescribes adjustments in the real federal funds rate in response to deviations of output from potential and inflation from some target rate.
89,This formulation of policy yields something very close to an unchanged nominal funds rate path during the first couple of years following an increase in productivity growth.
90,The decline in inflation raises the real federal funds rate just about as much as the Taylor Rule prescribes in light of the increase in the output gap.
91,"Later, however, as the disinflationary force of the productivity shock dissipates, the Taylor Rule will cause increases in nominal and real interest rates that push output toward potential and contain inflation."
92,Monetary policy could use such a shock as an opportunity to temporarily move below the unemployment rate sustainable in the long run while keeping the inflation rate unchanged.
93,"Alternatively, monetary policy could convert the temporary disinflationary effect into a permanent one."
94,"This would be an example of ""opportunistic disinflation"": monetary policy could take advantage of a disinflationary surprise to lower inflation without a temporary increase in the unemployment rate."
95,"If inflation is low at the time of the shock, the incentive is great to take the benefits in a temporary decline in the unemployment rate."
96,"Of course, policymakers could also choose a bit of both of these options, and I would interpret monetary policy as having produced this middle course during the last several years."
97,The task of monetary policy going forward is to avoid transforming what could have been an opportunity to lower the underlying inflation rate into a balance of risks that threatens to raise inflation relative to the rate prevailing at the beginning of this episode.
98,Is Monetary Policy Less Effective Today?
99,"The recent increases in the federal funds rate do not appear, to date, to have slowed the momentum in demand growth."
100,"Indeed, as I noted earlier, the economy appears to have shifted into a still higher gear just as monetary policy turned more restrictive."
101,"As a result, some have wondered whether recent structural changes may have undermined the effectiveness of monetary policy."
102,It is well appreciated that monetary policy affects aggregate demand with long and variable lags.
103,"So, a limited initial effect of tighter monetary policy on demand is to be expected."
104,"In addition, the first three quarter-point moves simply reversed the earlier cumulative easing, which may have added to demand in the second half of 1999."
105,"So the modest effects on aggregate demand to date perhaps only confirm the relatively modest and extremely gradual nature of the current tightening, along with the usual lags."
106,"In addition, some developments suggest that the recent policy moves may have had a more limited effect on aggregate demand than would have been expected from even this modest increase in the federal funds rate."
107,The key to understanding the effects of monetary policy on aggregate demand is that monetary policy does not operate through the direct effect of the federal funds rate on aggregate demand.
108,"Instead, changes in the federal funds rate and anticipations of future movements in the funds rate affect aggregate demand via their influence on a broader range of financial conditions, including short and longer-term private interest rates, equity prices, and the real exchange rate."
109,"Financial conditions indexes that capture in one measure the full range of relevant interest rates, asset prices, and exchange rates have been constructed by Goldman Sachs and Macroeconomic Advisers."
110,"So a second conclusion about the current experience is that the increase in the funds rate, to date, has had a smaller effect than usual--nearly zero--on overall financial conditions and hence on aggregate demand."
111,"The apparent persistence of accommodative overall financial conditions in the face of the recent increases in the federal funds rate is principally due to the continued increase, on balance, of equity prices and the failure of the real exchange rate to appreciate further."
112,"Figure 3 confirms that equity prices have been unusually resilient in this episode, rising by an amount near the maximum during the first nine months of significant tightenings over the period studied."
113,Private long-term interest rates will rise further only if market participants come to believe that the Federal Reserve will tighten by more than the couple of additional moves already embedded in the yield curve or if inflation expectations begin to rise.
114,"The fact that long-term private rates had already risen in anticipation of further Fed tightening has shortened the lag from increases in the federal funds rate to the ultimate effect on aggregate demand relative to past experience and thereby has actually added to, rather than subtracted from, the effectiveness of monetary policy."
115,"No one channel of monetary policy--in terms of the financial conditions index, no one component--should be singled out as of controlling importance."
116,"Still, monetary policy must take into account the overall response of financial conditions in judging the appropriate magnitude of any cumulative change in the federal funds rate."
117,"There also has been concern that some sectors of the economy--specifically investment in high-tech equipment, a component that has been an important contributor to the strength of aggregate demand--may be relatively insensitive to higher interest rates, therefore reducing the overall response to higher interest rates in this episode of policy tightening."
118,"The housing sector has often borne a disproportionate burden of higher interest rates, at least initially."
119,But the reality is that monetary policy always has had uneven effects across the economy.
120,"We have a single instrument that, by necessity, must be used to achieve balance between aggregate demand and potential aggregate supply."
121,Variations in sectoral responses will be unavoidable given the different lags and different interest sensitivities of the various components of aggregate demand.
122,"Another often-asked question about monetary policy is whether, once a decision is made to correct emerging imbalances, policy should move gradually or more forcefully."
123,"But when considerable uncertainty remains about the appropriate course and aggressiveness of the policy response--especially when policy is moving pre-emptively against the threat of higher inflation, without any direct corroboration from data on inflation--a more gradualist approach allows policymakers to assess the data along the way and adjust accordingly the desired path of interest rates."
124,The risk in this approach is that imbalances become larger and more disruptive to correct if resource utilization tightens further or inflation expectations pick up.
125,The appropriate speed of adjustment might also depend on the degree to which the bond markets reflect policymakers' expectations about likely further increases in short-term interest rates.
126,"That is, it may be more appropriate to move short-term interest rates slowly when long-term interest rates have already adjusted by an amount that policymakers believe is sufficient to achieve their objectives."
127,Conclusion The combination of favorable relative-price and productivity shocks in this expansion are the principal sources of the exceptional combination of robust output growth and declining unemployment on the one hand and stable to declining inflation on the other hand.
128,"As the disinflationary effects of relative-price shocks and faster productivity growth dissipate, monetary policy must be prepared to deal with more traditional concerns about the balance between growth of demand and supply, the relationship between output and potential, and the danger of overheating."
129,"As these concerns have become more pressing, monetary policy has responded in an effort to rebalance aggregate demand and supply and contain the risk of higher inflation."
130,A productivity shock is unambiguously good.
131,But the monetary policy that accompanies it can be good or bad.
132,"A good monetary policy is one that allows the economy to realize the full benefits of the higher growth while respecting the fact that limits--albeit new ones--remain and that, if exceeded, the ultimate result will be rising inflation, threatening the sustainability of the expansion."
133,Monetary policy remains fully capable of getting the job done.
134,Policymakers have to adjust the timing and cumulative size of tightenings to ensure that the effect on overall financial conditions will promote a continuation of this economic expansion and an accompanying low and stable rate of inflation.
