,sentence
56,"in the medium term, real gdp growth in 2019 was forecast to be at a rate above the staff's estimate of potential output growth, step down to the growth rate of potential output next year and then slow further to a pace below potential output growth in 2021."
57,the unemployment rate was projected to decline somewhat further below the staff's estimate of its longer-run natural rate but to bottom out by the end of this year and begin to edge up in 2021.
58,"with labor market conditions judged to already be tight, the staff continued to assume that projected employment gains would manifest in smaller-than-usual downward pressure on the unemployment rate and in larger-than-usual upward pressure on the labor force participation rate."
59,the staff's forecast for inflation was little revised for the january fomc meeting.
60,core pce price inflation was still expected to step up to 2 percent over this year as a whole and then to run at that level through the medium term.
61,"total pce price inflation was forecast to be a little below core inflation this year and next, reflecting projected declines in energy prices, and then to run at the same level as core inflation in 2021."
62,"the staff viewed the uncertainty around its projections for real gdp growth, the unemployment rate, and inflation as similar to the average of the past 20 years."
63,the staff also saw the risks to the forecasts for real gdp growth and the unemployment rate as roughly balanced.
64,"on the downside, trade policies and foreign economic developments could move in directions that have significant negative effects on u. s. economic growth."
65,risks to the inflation projection also were seen as balanced.
66,"the upside risk that inflation could increase more than expected in an economy that was projected to move further above its potential was counterbalanced by the downside risk that longer-term inflation expectations may be lower than was assumed in the staff forecast, as well as the possibility that the dollar could appreciate if foreign economic conditions deteriorated."
67,participants' views on current conditions and the economic outlook participants agreed that over the intermeeting period the labor market had continued to strengthen and that economic activity had been rising at a solid rate.
68,"job gains had been strong, on average, in recent months, and the unemployment rate had remained low."
69,"household spending had continued to grow strongly, while growth of business fixed investment had moderated from its rapid pace earlier last year."
70,"on a 12-month basis, both overall inflation and inflation for items other than food and energy had remained near 2 percent."
71,"although market-based measures of inflation compensation had moved lower in recent months, survey-based measures of longer-term inflation expectations were little changed."
72,"participants continued to view a sustained expansion of economic activity, strong labor market conditions, and inflation near the committee's symmetric 2 percent objective as the most likely outcomes over the next few years."
73,"participants generally continued to expect the growth rate of real gdp in 2019 to step down somewhat from the pace seen over 2018 to a rate closer to their estimates of longer-run growth, with a few participants commenting that waning fiscal stimulus was expected to contribute to the step-down."
74,"several participants commented that they had nudged down their outlooks for output growth since the december meeting, citing a softening in consumer or business sentiment, a reduction in the outlook for foreign economic growth, or the tightening in financial conditions that had occurred in recent months."
75,"in their discussion of the household sector, participants noted that recent data on spending had been strong, supported by a strong job market and rising incomes."
76,participants noted that growth of business fixed investment had moderated from its rapid pace earlier last year.
77,"concerns about the economic outlook were variously attributed to uncertainty or worries about slowing global economic growth, including in europe and china; trade policy; waning fiscal policy stimulus; and the partial government shutdown."
78,"in addition, a few participants noted that recent declines in oil or gasoline prices had damped plans for capital expenditures in the energy sector."
79,"a few participants observed that conditions in the agricultural sector remained difficult, citing large inventories of agricultural commodities, uncertainty about international trade policies, and concerns regarding low prices of commodities and farmland."
80,participants observed that both overall inflation and inflation for items other than food and energy remained near 2 percent on a 12-month basis.
81,participants continued to view inflation near the committee's symmetric 2 percent objective as the most likely outcome.
82,"some participants noted that some factors, such as the decline in oil prices, slower growth and softer inflation abroad, or appreciation of the dollar last year, had held down some recent inflation readings and may continue to do so this year."
83,"in addition, many participants commented that upward pressures on inflation appeared to be more muted than they appeared to be last year despite strengthening labor market conditions and rising input costs for some industries."
84,"in their discussion of indicators of inflation expectations, participants noted that market-based measures of inflation compensation had moved lower in recent months."
85,participants expressed a range of views in interpreting the decline in inflation compensation.
86,"on the one hand, that decline could stem from a decrease in expected inflation on the part of market participants."
87,"in that case, the current low levels of inflation compensation could suggest that inflation expectations are below the committee's 2 percent inflation objective."
88,"on the other hand, the decline in inflation compensation might reflect in large part declines in risk premiums or increased concerns about downside risks to the outlook for inflation."
89,"this interpretation was seen as consistent with the behavior of the most recent survey-based measures of expected inflation, which were little changed."
90,"estimates of job gains in the december employment report had been strong, the unemployment rate had remained low, and the labor force participation rate had moved up."
91,some participants commented on recent indicators at the national or district levels as suggesting a pickup in wage growth.
92,the pickup was attributed to tightening in national or district labor market conditions or to gains in the rate of productivity growth.
93,continued solid productivity growth was seen as a key factor necessary to support rising real wages over time.
94,"participants commented on a number of risks associated with their outlook for economic activity, the labor market, and inflation over the medium term."
95,"participants noted that some risks to the downside had increased, including the possibilities of a sharper-than-expected slowdown in global economic growth, particularly in china and europe, a rapid waning of fiscal policy stimulus, or a further tightening of financial market conditions."
96,a few participants expressed concern that longer-run inflation expectations may be lower than levels consistent with the committee's 2 percent inflation objective.
97,several participants judged that risks that could lead to higher-than-expected inflation had diminished relative to downside risks.
98,"in their discussion of financial developments, participants noted that although financial market conditions had not changed much, on net, over the intermeeting period, prices had been volatile and financial conditions were materially tighter than they had been several months ago, with lower equity prices and wider corporate risk spreads."
99,"participants noted that financial asset prices appeared to be sensitive to information regarding trade policy tensions, domestic fiscal and monetary policy, and global economic growth prospects."
100,"a couple of participants noted that the rise in credit spreads over recent months, if it were to persist, could restrain future economic activity."
101,"in their consideration of monetary policy at this meeting, participants judged that information received since december indicated that real economic activity had been rising at a solid rate, labor market conditions had continued to strengthen, and inflation had been near the committee's objective."
102,"participants generally expected economic activity to continue expanding at a solid pace in the period ahead, with strong labor market conditions and inflation near 2 percent."
103,"in addition, the global economy had continued to record slower growth, and consumer and business sentiment had deteriorated."
104,"with regard to the committee's postmeeting statement, participants supported a proposed change in the forward guidance language that would replace the previous guidance referring to ""some further gradual increases in the target range for the federal funds rate"" with an indication that, in light of ""global economic and financial developments and muted inflation pressures, "" the committee would ""be patient as it determines what future adjustments to the target range for the federal funds rate may be appropriate. """
105,participants pointed to a variety of considerations that supported a patient approach to monetary policy at this juncture as an appropriate step in managing various risks and uncertainties in the outlook.
106,"with regard to the domestic economic picture, additional data would help policymakers gauge the trajectory of business and consumer sentiment, whether the recent softness in core and total inflation and inflation compensation would persist, and the effect of the tightening of financial conditions on aggregate demand."
107,a patient approach would have the added benefit of giving policymakers an opportunity to judge the response of economic activity and inflation to the recent steps taken to normalize the stance of monetary policy.
108,"moreover, inflation pressures were muted, and asset valuations were less stretched than they had been a few months earlier."
109,many participants suggested that it was not yet clear what adjustments to the target range for the federal funds rate may be appropriate later this year; several of these participants argued that rate increases might prove necessary only if inflation outcomes were higher than in their baseline outlook.
110,"some participants noted that, while global economic and financial developments had been important factors leading to a patient monetary policy posture, those developments mattered because they affected assessments of the policy rate path most consistent with achievement of the committee's dual-mandate goals of maximum employment and price stability."
111,"many participants observed that if uncertainty abated, the committee would need to reassess the characterization of monetary policy as ""patient"" and might then use different statement language."
112,"however, some other participants noted that the policy rate projections in the sep are a valuable component of the overall information provided about the monetary policy outlook."
113,"committee policy action in their discussion of monetary policy for the period ahead, members judged that information received since the committee met in december indicated that the labor market had continued to strengthen and that economic activity had been rising at a solid rate."
114,"job gains had been strong, on average, in recent months, and the unemployment rate had remained low."
115,"household spending had continued to grow strongly, while growth of business fixed investment had moderated from its rapid pace earlier last year."
116,"on a 12-month basis, both overall inflation and inflation for items other than food and energy remained near 2 percent."
117,"although market-based measures of inflation compensation had moved lower in recent months, survey-based measures of longer-term inflation expectations were little changed."
118,"in their consideration of the economic outlook, members noted that financial conditions had tightened, on net, since september, and that global growth had moderated; members also observed that a number of uncertainties, including those pertaining to the evolution of policies of the u. s. and foreign governments, still awaited resolution."
119,"however, members continued to view sustained expansion of economic activity, strong labor market conditions, and inflation near the committee's symmetric 2 percent objective as the most likely outcomes for the u. s. economy in the period ahead."
120,"in light of global economic and financial developments and muted inflation pressures, the committee could be patient as it determined what future adjustments to the target range for the federal funds rate may be appropriate to support these outcomes."
121,"after assessing current conditions and the outlook for economic activity, the labor market, and inflation, members decided to maintain the target range for the federal funds rate at 2-1/4 to 2-1/2 percent."
122,"members agreed that in determining the timing and size of future adjustments to the target range for the federal funds rate, the committee would assess realized and expected economic conditions relative to the committee's maximum employment and symmetric 2 percent inflation objectives."
123,"they reiterated that this assessment would take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments."
124,"more generally, members noted that decisions regarding near-term adjustments of the stance of monetary policy would appropriately remain dependent on the evolution of the outlook as informed by incoming data."
125,"with regard to the postmeeting statement, members agreed to change the characterization of recent growth in economic activity from ""strong"" to ""solid, "" consistent with incoming information that suggested that the pace of expansion of the u. s. economy had moderated somewhat since late last year."
126,"the description of indicators of inflation expectations was revised to recognize that the downward moves in market-based measures of inflation compensation that occurred in recent months had been sustained, while also noting that survey-based measures of longer-term inflation expectations were little changed."
127,members also agreed to several adjustments in the description of the outlook for the economy and monetary policy.
128,"the statement language was revised to indicate that the committee continued to view sustained expansion of economic activity, strong labor market conditions, and inflation near 2 percent as ""the most likely outcomes. """
129,"members also agreed to add a sentence indicating that, in light of ""global economic and financial developments and muted inflation pressures, the committee will be patient as it determines what future adjustments to the target range for the federal funds rate may be appropriate to support these outcomes. """
130,"the vote also encompassed approval of the statement below to be released at 2:00 p. m. : ""information received since the federal open market committee met in december indicates that the labor market has continued to strengthen and that economic activity has been rising at a solid rate."
131,"job gains have been strong, on average, in recent months, and the unemployment rate has remained low."
132,"household spending has continued to grow strongly, while growth of business fixed investment has moderated from its rapid pace earlier last year."
133,"on a 12-month basis, both overall inflation and inflation for items other than food and energy remain near 2 percent."
134,"although market-based measures of inflation compensation have moved lower in recent months, survey-based measures of longer-term inflation expectations are little changed."
135,"consistent with its statutory mandate, the committee seeks to foster maximum employment and price stability."
136,"the committee continues to view sustained expansion of economic activity, strong labor market conditions, and inflation near the committee's symmetric 2 percent objective as the most likely outcomes."
137,"in light of global economic and financial developments and muted inflation pressures, the committee will be patient as it determines what future adjustments to the target range for the federal funds rate may be appropriate to support these outcomes."
138,"in determining the timing and size of future adjustments to the target range for the federal funds rate, the committee will assess realized and expected economic conditions relative to its maximum employment objective and its symmetric 2 percent inflation objective."
139,"this assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. """
140,"consistent with the committee's decision to leave the target range for the federal funds rate unchanged, the board of governors voted unanimously to leave the interest rates on required and excess reserve balances unchanged at 2."
